CaseMonth,OnStreet,Serious_and_Fatal_Injuries
1,BENNINGTON GREEN LANE,0
1,BENNINGTON HILLS COURT,0
1,BENT OAK TRAIL,0
1,BENTON STREET,0
1,BENWELL ROAD,0
1,BERCHMAN DRIVE,0
1,BERDELL ALLEY,0
1,BERESFORD ROAD,0
1,BERG ROAD,0
1,BERGEN STREET,0
1,BERKELEY STREET,0
1,BERKELY STREET,0
1,BERKLEY STREET,0
1,BERKSHIRE COURT,0
1,BERKSHIRE DRIVE,0
1,BERKSHIRE STREET,0
1,BERLIN STREET,0
1,BERMAR PARK,0
1,BERMAR PIKE,0
1,BERNABI ROAD,0
1,BERNARD STREET,0
1,BERNERCREST DRIVE,0
1,BERNICE ROAD,0
1,BERNICE STREET,0
1,BERRY LANE,0
1,BERRY STREET,0
1,BERRYWOOD CIRCLE,0
1,BERWICK PLACE,0
1,BERWICK ROAD,0
1,BERWYN STREET,0
1,BETTERIDGE ROAD,0
1,BETWOOD LANE,0
1,BEULAH ROAD,0
1,BEVERLY HTS,0
1,BEVERLY STREET,0
1,BICKFORD STREET,0
1,BIDWELL TERRACE,0
1,BIG RIDGE ROAD,0
1,BILTMORE DRIVE,0
1,BINNACLE POINT,0
1,BIRCH CRESCENT,0
1,BIRCH LANE,0
1,BIRCHWOOD DRIVE,0
1,BIRCHWOOD ROAD,0
1,BIRMINGHAM DRIVE,0
1,BIRR STREET,1
1,BISCAYNE DRIVE,0
1,BISHOPGATE DRIVE,0
1,BISHOPS COURT,0
1,BISHOPS LANE,0
1,BISMARK TERRACE,0
1,BITNER STREET,0
1,BITTERNELL LANE,0
1,BITTERSWEET DRIVE,0
1,BITTNER STREET,0
1,BIXBY PLACE,0
1,BLACK CHERRY BOULEVARD,0
1,BLACK CREEK ROAD,0
1,BLACK DUCK TRAIL,0
1,BLACK FOREST DRIVE,0
1,BLACK MALLARD CIRCLE,0
1,BLACK TERN TERRACE,0
1,BLACK WALNUT DRIVE,0
1,BLACK WATCH TRAIL,0
1,BLACKWATCH TRAIL,0
1,BLACKWELL LANE,0
1,BLAKESLEE STREET,0
1,BLAYDON LOOP,0
1,BLAZING STAR CIRCLE,0
1,BLEACKER ROAD,0
1,BLEAKER ROAD,0
1,BLEILE TERRACE,0
1,BLOOMFIELD PLACE,0
1,BLOOMINGDALE STREET,0
1,BLOSS STREET,0
1,BLOSSOM CIRCLE,0
1,BLOSSOM ROAD,0
1,BLUE ASPEN WAY,0
1,BLUE BIRCH DRIVE,0
1,BLUE CREEK DRIVE,0
1,BLUE GRASS LANE,0
1,BLUE PINE CIRCLE,0
1,BLUE RIDGE ROAD,0
1,BLUE SPRUCE DRIVE,0
1,BLUE VISTA TRAIL,0
1,BLUFF DRIVE,0
1,BLUHM ROAD,0
1,BLY STREET,0
1,BOARDMAN STREET,0
1,BOBBIE DRIVE,0
1,BOBRICH DRIVE,0
1,BOCA AVENUE,0
1,BOCES BOULEVARD,0
1,BOCK STREET,0
1,BOHRER ALLEY,0
1,BOLTON TRAIL,0
1,BOND STREET,0
1,BONESTEEL CIRCLE,0
1,BONESTEEL STREET,0
1,BONITA DRIVE,0
1,BONNIE BRAE AVENUE,0
1,BOOTHE STREET,0
1,BORCHARD STREET,0
1,BORDEAUX WAY,0
1,BORROWDALE DRIVE,0
1,BOSTON STREET,0
1,BOSWELL STREET,0
1,BOSWORTH FIELD,0
1,BOTT PLACE,0
1,BOUCKHART AVENUE,0
1,BOUGHTON AVENUE,0
1,BOUGHTON HILL DRIVE,0
1,BOUGHTON HILL ROAD,1
1,BOULEVARD PARKWAY,0
1,BOULTER INDUSTRIAL PARK,0
1,BOULTER INDUSTRIAL PARKWAY,0
1,BOVEE ROAD,0
1,BOWEN ROAD,0
1,BOWERMAN ROAD,0
1,BOWERY STREET,0
1,BOWMAN STREET,0
1,BOX CAR DRIVE,0
1,BOXART STREET,0
1,BOXWOOD LANE,0
1,BOYD DRIVE,0
1,BOYS CLUB PLACE,0
1,BRACKLEY CIRCLE,0
1,BRADBURN STREET,0
1,BRADDOCK ROAD,0
1,BRADDOCK STREET,0
1,BRADFIELD STREET,0
1,BRADFORD ROAD,0
1,BRADFORD STREET,0
1,BRAGDON DRIVE,0
1,BRAGDON PLACE,0
1,BRAGGS ALLEY,0
1,BRAINTREE CRESCENT,0
1,BRAM HALL DRIVE,0
1,BRAMBLEWOOD LANE,0
1,BRAMBURY DRIVE,0
1,BRANCH STREET,0
1,BRANCHBROOK DRIVE,0
1,BRANCHWOOD LANE,0
1,BRANDON ROAD,0
1,BRANDON WOODS DRIVE,0
1,BRANDT POINT DRIVE,0
1,BRANDY BROOK LANE,0
1,BRANDY WINE TERRACE,0
1,BRANDYWINE LANE,0
1,BRANDYWINE TERRACE,0
1,BRANNON LANE,0
1,BRASS CASTLE,0
1,BRASSER DRIVE,0
1,BRATTLEBORO DRIVE,0
1,BRAUNSTON DRIVE,0
1,BRAYER STREET,0
1,BRAYTON ROAD,0
1,BREBEUF DRIVE,0
1,BRECK STREET,0
1,BRECKENRIDGE DRIVE,0
1,BREEZEWAY DRIVE,0
1,BREEZEWOOD COURT,0
1,BREMEN STREET,0
1,BRENTWOOD DRIVE,0
1,BRENTWOOD LANE,0
1,BRENTWOOD STREET,0
1,BRETT ROAD,0
1,BRETTON WOODS DRIVE,0
1,BREWER STREET,0
1,BREWERTON DRIVE,0
1,BRIAN DRIVE,0
1,BRIANNA LANE,0
1,BRIAR HILL DRIVE,0
1,BRIAR LANE,0
1,BRIAR PATCH ROAD,0
1,BRIAR ROSE LANE,0
1,BRIAR WOOD LANE,0
1,BRIARCLIFF ROAD,0
1,BRIARCLIFFE ROAD,0
1,BRIARWOOD DRIVE,0
1,BRIARWOOD LANE,0
1,BRICK SCHOOL HOUSE ROAD,0
1,BRICK SCHOOLHOUSE ROAD,0
1,BRICKER STREET,0
1,BRICKSCHOOLHOUSE ROAD,0
1,BRICKSTONE CIRCLE,0
1,BRIDGE VIEW DRIVE,0
1,BRIDGEMAN ROAD,0
1,BRIDGETOWN DRIVE,0
1,BRIDGEWOOD DRIVE,0
1,BRIDLE LANE,0
1,BRIDLEWOOD TRAIL,0
1,BRIGGS AVENUE,0
1,BRIGGS PLACE,0
1,BRIGGS STREET,0
1,BRIGHT AUTUMN LANE,0
1,BRIGHT OAKS DRIVE,0
1,BRIGHTON HENRIETTA TOWN LINE ROAD,1
1,BRIGHTON PARK,0
1,BRIGHTON STREET,0
1,BRIGHTWOODS LANE,0
1,BRISTOL AVENUE,0
1,BRISTOL VIEW DRIVE,0
1,BRITTANY CIRCLE,0
1,BRITTANY LA,0
1,BRITTANY LANE,0
1,BRITTANY WOODS,0
1,BRITTON ROAD,0
1,BRIZEE STREET,0
1,BROAD STREET,0
1,BROAD STREET EAST,0
1,BROADMOOR TRAIL,0
1,BROADWAY,1
1,BROADWAY STREET,0
1,BROCKLEY ROAD,0
1,BROCKPORT HOLLEY ROAD,0
1,BROCKPORT ROAD,0
1,BROCKPORT SPENCERPORT ROAD,0
1,BROCKPORT/SPENCERPORT ROAD,0
1,BROCKWAY PLACE,0
1,BRODERICK DRIVE,0
1,BROEZEL STREET,0
1,BROKEN HILL ROAD,0
1,BROMLEY ROAD,0
1,BROMSGROVE HILL,0
1,BRONGO LANE,0
1,BRONSON COURT,0
1,BRONZE LEAF TRAIL,0
1,BROOK HILL LANE,0
1,BROOK MEADOWS TRAIL,0
1,BROOK ROAD,0
1,BROOK STREET,0
1,BROOK TROUT LANE,0
1,BROOKDALE AVENUE,0
1,BROOKDALE PARK,0
1,BROOKDALE PIKE,0
1,BROOKDALE ROAD,0
1,BROOKEDGE DRIVE,0
1,BROOKEVILLE DRIVE,0
1,BROOKFIELD ROAD,0
1,BROOKHAVEN TERRACE,0
1,BROOKLAWN DRIVE,0
1,BROOKLEA DRIVE,0
1,BROOKLYN STREET,0
1,BROOKRIDGE DRIVE,0
1,BROOKS AVENUE,3
1,BROOKS AVENUE EXTENSION,0
1,BROOKS ROAD,0
1,BROOKSBORO DRIVE,0
1,BROOKSHIRE LANE,0
