CaseYear,OnStreet,Serious_and_Fatal_Injuries
2012,AUBURN AVENUE,0
2012,AUDABON TERRACE,0
2012,AUDINO LANE,0
2012,AUDUBON STREET,0
2012,AUDUBON TRAIL,0
2012,AUGSTINE STREET,0
2012,AUGUSTINE ROAD,0
2012,AUGUSTINE STREET,0
2012,AURAMAR DRIVE,0
2012,AURORA STREET,0
2012,AUSTIN PARK,0
2012,AUSTIN STREET,0
2012,AUTHORS AVENUE,0
2012,AUTUMN BLAZE TRAIL,0
2012,AUTUMN CHAPEL WAY,0
2012,AUTUMN PLACE,0
2012,AUTUMN TRAIL,0
2012,AVACADO LANE,0
2012,AVALON DRIVE,0
2012,AVANTI DRIVE,0
2012,AVENUE A,0
2012,AVENUE B,0
2012,AVENUE C,0
2012,AVENUE D,0
2012,AVENUE A WEST,0
2012,AVENUE EAST,0
2012,AVENUE EAST STREET,0
2012,AVERIL AVENUE,0
2012,AVERILL AVENUE,0
2012,AVERILL COURT,0
2012,AVERILL STREET,0
2012,AVERY PARK LANE,0
2012,AVERY STREET,0
2012,AVION DRIVE,0
2012,AVIS STREET,0
2012,AVON PLACE,0
2012,AVONDALE PARK,0
2012,AVONDALE PIKE,0
2012,AVONDALE ROAD,0
2012,AVONMORE WAY,0
2012,AVRILL AVENUE,0
2012,AYER STREET,0
2012,AYRAULT ROAD,0
2012,AZALEA ROAD,0
2012,B LOOP ROAD,0
2012,BABCOCK DRIVE,0
2012,BACHMAN ROAD,0
2012,BACHUS STREET,0
2012,BACKUS ROAD,0
2012,BACKUS STREET,0
2012,BADEN STREET,0
2012,BADERS WAY,0
2012,BADGERS WAY,0
2012,BAIER DRIVE,0
2012,BAILEY ROAD,0
2012,BAINBRIDGE LANE,0
2012,BAIRD ROAD,0
2012,BAIRD STREET,0
2012,BAKER AVENUE,0
2012,BAKER ROAD,0
2012,BAKER STREET,0
2012,BAKERDALE ROAD,0
2012,BAKERS LANE,0
2012,BAKERS PARK,0
2012,BALDWIN STREET,0
2012,BALFOUR DRIVE,0
2012,BALLAD AVENUE,0
2012,BALLANTYN ROAD,0
2012,BALLANTYNE ROAD,0
2012,BALLOU PLACE,0
2012,BALSAM LANE,0
2012,BALSAM STREET,0
2012,BALTA DRIVE,0
2012,BAMBI LANE,0
2012,BANBURY DRIVE,0
2012,BANCROFT AVENUE,0
2012,BANCROFT DRIVE,0
2012,BANEBERRY WAY,0
2012,BANGS ROAD,0
2012,BANK PLACE,0
2012,BANKER PLACE,0
2012,BANKSIDE DRIVE,0
2012,BANNERWOOD DRIVE,0
2012,BARBARA LANE,0
2012,BARBERRY TERRACE,0
2012,BARBIE DRIVE,0
2012,BARCLAY COURT,0
2012,BARCLAY SQUARE DRIVE,0
2012,BARCREST DRIVE,0
2012,BARDIN STREET,0
